,response1
130,@ USER He likewise cried during GamerGate that games had media in radical and special access code that contaminated their journalism. # lol Scab
131,"@ USER son, information technology ' s a swear word that adults use to underscore a point. Anyway, you re 10 yrs old, wtf you do on Twitter at any rate? Single ' m delete your account. Now put the GD phone down and go external and play. .."
132,"@ substance abuser (1) I ' m not a bloodless humankind, I ' m Indigene U.s. (Piute ), and (2) these guys prune as Natives."
133,@ USER You didn ' t deliver the goods the referendum? And Cornet won the vote. Lol
134,"@ USER did non see that, but show, he was banged turned blow vitamin b complex / c helium should be "" dependable "" at inaug"
135,"@ substance abuser He contend to keep prayers from the schools, along with the request of fidelity."
136,@ USER embody not a shame that Hindu fanatics spread scourge in Iraq and Syria. Just last hebdomad a certain Hindoo tried to kill few people on the London bridge! Jamal Khasoggi was murdered by a certain RSS worker. Osama bin Laden comprise a member of the BJP. # islamicfanatic
137,"@ USER is interesting that the like lily white voters in Florida, Ohio and Pennsylvania world health organization voted for Obama as well voted for Horn."
138,"@ exploiter offends metropolis because they don ' thyroxine have a power saw, and then city calls classless."
139,A smuggled chairwoman in the United State is an absurd idea.
140,@ drug user follow the crazy and even jeopardize people in write. .. flummox! # surrondedbycrazies
141,"@ USER Spanish Fortress, AL. Likewise the few excavator where work worsens with grocery handler Bawaneh. Single good enjoyed helping bag my food and frame the food in the cart."
142,@ USER Jailor Report! Who cares if we make the same error as in the past.
143,@ substance abuser many of these same people harass 3rd nominee and their follower at the moment.
144,"@ exploiter Yes. Under measures introduced by to, Gold Scardinius erythrophthalmus."
145,@ USER The citizenry world health organization might receive to do with a good education department.
146,@ USER I wanted to require the same matter with a
147,"@ USER Part of the reason for this is that a domme be legal while it ' s a prostitute is non. Most Dommes don - liothyronine want to mix the two for sound reason that is cool, but they don ' t get that this strap count on sessions as prostitution, so they ' re sound hookers too."
148,@ substance abuser wait there is a option which selection? have get wind nada about a choice. .. lemme @ USER that.
149,"@ substance abuser Ace reckon that ' s what they call proud, fighting corresponding a daughter. @ USER"
150,I come up it hilarious that you ' re something # boycott you never want to see. ___
151,@ USER If you study the story - it come from # Ricketts when you call the rightfield people - you get the result you will be ease up in the fresh year. .. # Ohdearinded # notfakenews
152,"Such pity that ppl like @ USER sales booth for Pakistani actor, but not hv back for your ain. # Hippocrates # ZairaWasim"
153,@ USER It was just a bit of found on today ' s news astir RKG funding. IMHO we should have greater inspiration.
154,"@ drug user male child, oh boy. . you all behave similar SJWs while you impeach Ben of acting like an SJW."
155,"@ exploiter Single would pass it on to my source at Greggs, but she would only let her take information technology from UC again."
156,@ USER I will cost one of those mass trying to nonplus the next parking lot to the entryway because I get into ' tonne want to go also far.
157,"@ exploiter Yeah, safe chance with that. Being constructive be all Ace advocate. Don ' t hit your face against a brick rampart."
158,@ USER Unity find information technology funny that Clemson is in the title secret plan tonight and the solitary affair in your nous is I survive rent for free in your head!
159,@ USER You will shock soul is cleverness with this set bodily structure. .?
160,If you real believe that thousands of ppl are concerned about this because of the downcast IQ? Consider your own
161,"@ USER Oh yes ULIP! ! operating theatre even better "" term with premium return """
162,@ USER wants information technology hence badly. He also thinks Freddie should be traded and the balance of the team should be shot
163,@ drug user I persecute him conscientiously. .. simply in view of his preference to chop and change his political opinions it ' s hard to say without attached.
164,"@ USER Too defective you ' re probably ane out of 100 people who actually gave a small dollar sign contribution for their campaign! Maybe this will lower their norm from $ 2, 000 to $ 1990 per donor!"
165,"@ USER The problem with this badge is that the idiom "" Independency 24 hour interval "" refers to a Uracil. S. vacation where information technology won independence from the British and their armies. Now we reshape the phrase to separate ourselves from the EU block where we have access to great economical benefits."
166,"@ exploiter climate modification, sea level rise, all swamps live flooded"
167,"@ USER words have meaning, it is how we communicate, for million of people, for millennia, on this planet the word, woman, in all it linguistic variations has / continue to mean biological female. BTW abuse of people with opposing views to you be the actual definition of dogmatism"
168,"@ USER Suspiration Meghan has to go to the head to help face that is affected by the fires of Grenfell in a way that enables them. Develop a clothing line to help those in fact of business clothes 4 interviews. Bring attention to British charities, 3 successful tours comprise the United Kingdom. it ' s all likewise much"
169,@ exploiter say the guy who praised the original tweet. @ USER
170,"@ exploiter Wow so glad Chirrup never notified me you respond. yes, it ' s actually that blurry and I doubt anything can live done straight off because it ' s been a unharmed twelvemonth. Grinning face with swither"
171,@ exploiter always nice to get a supplement from an Islamaphobe.
172,"@ USER Hey # snow bunting, should we discuss when @ drug user changed the prescript & expend the "" nuclear "" option in 2013?"
173,"@ USER So I ' megabyte going to tell her astir the "" Political science Non Save Affair "" - Atomic number 53 can ' t believe the Uber / Lyft thing has unfold so now. .."
174,@ USER I can learn @ USER be a clear & present peril.
175,@ USER Riot. .. they rattling just recapitulate what others tell her. # I be intimate they ' re jogging # soami
176,@ drug user What a entire ride. .. Sturgeon have the nerve to use the word democracy! ! Roll on the primer express joy oh the
177,@ USER Sorry think you Catholics have a sense of humor. ..
178,@ drug user The Indian Cricket Council if Ane ' m not mistaken
179,"# Bravo grofers for an amazing customer service. I essay to talk to them the second time because I thought information technology was my money only I need to take care of myself. Grofers just kick in free of monetary value products that is my need, so I have to listen. I get money to buy products. # grofers"
180,"@ USER Waiting. Your legitimate, normal explanation do not match this line of pernicious blast by an impartial journalist on a candidate who has a boring track record just appeals to many voters."
181,"@ drug user sounds exactly the manner Trump treats newsperson, doesn ' t it?"
182,@ drug user This was $ 31 alone 4 months ago. Today $ 125. And now mass be interested in buying this? After a 300% income tax return in 4 month? receive loved the enthusiasm out there. ..
183,@ USER I ' m apply the final NYT I ' ll ever grease one's palms as a crap liner in the parrot cage.
184,"@ USER We do not spare children of religion, caste, furiousness, Bollywood, sexual activity, etc. Wherefore do they spare politics? Let ' s cash in one's chips all the way. (because most people get into ' t cause it )"
185,@ USER I think you only got an RT from Regard
186,@ USER Single do so trust that should embody sarcastic you crazy apocalyptic musicians.
187,"@ USER helium does non support # sunny man and wife in the 2008 political campaign (nor did # Clinton ), if you remember # hypocritical"
188,@ USER you mean just now like @ USER soak up upward
189,"@ USER What ' s wrong with me, the fact that helium didn ' t strait thinking - in social movement of the word residential district. @ exploiter"
190,"@ exploiter You represent disregard, they could non have stirred up these flames."
191,"@ USER is non Muhammed as the "" great trickster? "" = Satan in the Christian Word of god I behave not trust them."
192,"@ USER, as we all know Liberal and Democrat are time travel warlocks world health organization keep on babies for their power, so it makes sense that we personify not able to picture them on the video. Yep."
193,@ exploiter comments like these show deficiency of operate brain cells.
194,@ drug user Try the next sentence. Hard to say these sidereal day.
195,"@ exploiter So, 1 bum ' t # access a video astir voting barriers due to missing # legend. .."
196,@ exploiter Incisively! Cubans be targeted while Islamists are building mosques that are outright under Obama.
197,. @ USER loading of # Passion but nevertheless leash alarm cloc
198,@ USER cogitate all the time McConnell is the unity who live Obamacare.
199,@ drug user of course if suggestion was ironic I will follow only ironical
200,He cannot agree to mor Rohingya threat in Jmu is sabotage 2 d ppl f Jmu. # He is mastermind f DEMOGRAFIC Invasion f Jmu & V d NATIONALIST bt INNOCENT ppl farad Jmu wr made 2 believe and rejoice that hez be Jmu CM. helium damaged Jmu because mor as any other.
201,He ' s deliver a ticker attack!
202,@ USER The good news he has won complains astir how much he is all hebdomad after hanging upwardly
203,. @ USER Their language defines their narrative. According to them # Aleppo ' mho ' fall ' while # Longar palm ' s ' rerecorded '. # Syria
204,"@ exploiter Dubya was Cheney ' reciprocal ohm puppet, # CrookedDonald will Vladimir putin ' s. . world health organization would know that we would squall Cheney one of the good ace?"
205,@ USER Richard Herbert spencer talk astir the lie media that distort reality with headlines like this.
206,"@ drug user surprisingly, we can ' t see a middle flooring with miles and miles of space in the middle, you would think information technology would live easy to find."
207,"@ USER Yes, it be. Stop doing exactly what you ' re asking the senator to halt."
208,"@ substance abuser of course of action non. They collected $ 1G a seat from their "" DIVERSE viewing audience "" (the elite group. .. )"
209,@ USER. .. especially with altogether the focussing the media order on the victims. .. instead of e - mail service. Typeface with rolled eyes
210,"@ USER you don ' t recollect that a "" peru bank "" testament get along the trick? ! grins face with travail"
211,"@ USER Crataegus laevigata 13, 2010 be a very sad day for mothership fans. Suppose a good day for # SVU occupation / crew though!"
212,@ USER that vocalize a flake scary. Now Single ' m panicking you recollect I could constitute a stalker. # mentalhealth
213,@ drug user Cameron mustiness be suspend too. .. I have in mind. .. atomic number 2 orchestrated everything. .. right hand?
214,"I was ready to fly to playa Del Carmen dec 1996 from my young metropolis. We sat for hours on the snowy asphalt, then was tell to go home and come back the next twenty four hour period. Eventually it managed to Playa, but that wasn ' t lost on me! # Snowpocalypse2020"
215,"@ USER If you took out all the sir herbert beerbohm tree instead of hug them, there ' sulfur no fervency! # staysafe # cometogether # fuckmurdoch"
216,And nonetheless you be the i who reject to acknowledge the final result of our election (s) @ USER # LackOfSelfAwareness
217,@ USER Sad that you experience to add Can we get extinct of this ride?
218,"@ USER You will not fight because, only you will knock other women world health organization are intrepid enough to stand for what they believe?"
219,"@ USER like I don ' t comparable to insult people ' s appearance, information technology ' s small & cark from the tangible iniquity they ' ve done. Simply"
220,@ drug user cannot waiting until they have to refer the case to the European Court of law of Justice.
221,"@ exploiter I tried for a refund while on the flight, but the Wisconsin - Fi was not skillful plenty to pine tree state"
222,@ exploiter Paciorrety must play his defensive attitude before atomic number 2 promotes.
223,"@ USER This is unmatched of those tweet that didn ' t seminal fluid, how intended be it non? Where you need the. .. ; )"
224,"@ USER I ' one thousand 49 and 1 just asked the working course of study people if they get laid PoshPainter, they just now said about Owen Jones"
225,Maybe I should give birth added. I in truth didn ' t think it comprise necessary. @ USER
226,"@ substance abuser I should belike cost that it ' s you, who ' s non that. .."
227,"@ USER On the other hired hand Bloomberg is obviously distressed. .. Michael Bloomberg has 3 planes, 2 whirlybird, six boats, 11 houses, forty two cars. . but suggests that we all take the bus topology to fight climate change."
228,@ USER disgusting. . and ur tweet is in reality what scum would write.
229,"@ USER Information technology ' s, information technology ' southward, etc. .. .. , short for. et cetera. , mean. .. Father. triiodothyronine worry astir Latin anyway, .. . It ' s a beat nomenclature. # DemocratsAreDollWitted"
230,"@ USER Saddam live more malign, more knock down and more serious. Remove him with any kind of strategy mustiness represent beneficial for America and save American life story"
231,"@ USER Adage such a thing, finally; wrong written Du Bois as "" Delaware Bois "". (Shortly after one on sign of bullying. )"
232,@ exploiter I forgot to add in there. That ' s what One puzzle for typing on my phone.
233,@ exploiter You say he ' s a simpleton so far your grammar suggest you ' re a bigger simpleton? ? # Salty
234,@ USER The fact that one someone who could suffer guaranteed a fair trial with witnesses and evidence get along non complain astir paleness after instructing the witnesses to attest.
235,"@ substance abuser Uh - oh, be as well @ exploiter "" un - microcomputer "" for you? Do you need a professional - @ substance abuser dependable position to protect your feelings? _"
236,"@ USER you idiot. . @ exploiter doesn ' t give care about Hispanic. he will anticipate you an anchor child, just definitely hold him"
237,"@ USER Good story one should mention fear, it is bed for the poem Our sterling fear about acting out of top executive rather of care."
238,"@ USER If the Crusades were "" therefore long ago "" than not civilise The nazarene as we speak durability."
239,"@ USER note to myself, if you ' re trying to be comic, impart a hashtag"
240,@ USER You ' re justly. Corruption bulge in January 2017. My regretful.
241,@ USER where is the empiric validation that it did? (Yet if you bring about some there r ppl that volition deny it) # MRobertsisaLoony
242,@ USER she leave how Trumble hung from Packer ' sulphur coat dicks..
243,"@ exploiter thanks sweet! sparkling heart I ' m from Capital of oregon expanse, you? You be SO funny, we have similar personalities sleep with it! winking face with tongue brass blows a kiss"
244,@ exploiter Enjoy the exclusion of # Zitation Paywall has always constitute a major obstacle to battle climate change denial # Agnotology # ClimateEmergency
245,@ USER For this you would get serious prison house time.
246,@ USER establish how much the pathetic hombre need a holiday he didn ' t even think about
247,"@ drug user You mean like Melania did? Work here without the rightfield visa, and so rest about it."
248,"@ substance abuser Atomic number 102 more than the language "" krumm "", "" join forces "" or # TraitorInChief"
249,I can ' t believe they act against this cat.
250,@ USER of Mizzou fans worry about KU football because they get nothing to verbalize about w / their team
251,"@ USER sound out the guy world health organization explain there ' s no grounds, then ask peer review it."
252,@ substance abuser Angstrom farewell speech and the concluding planned conference are two different things.
253,@ USER Give each child a glass of jelly beans. Those who horde them to key out themselves as conservatives and they are NOT pee fun of OK! Those who contribution with others are liberals and they are fairish game for teasing regardless of age!
254,@ USER These women lack wholly attractive feminine characteristics. Wherefore do most feminists resemble adult male? _
255,@ USER Information technology has also live mark to eliminate the same synonyms.
256,@ USER Nope (Looks like I deleted Dropbox from my speech sound ascribable to store problems
257,. @ exploiter I like to leave fragments lie in around to find and identify others!
258,@ drug user thus at once we have only the handsome elitist of all to lead the state. ..
259,"Son dressed to the nine will squall "" Gold Diggers "" when women have pursued / assumed that they have large money."
260,@ USER start a car? with cell phone and computer? then whining astir coal. .. your lifestyle be drive by rock oil paraguay tea. .. but you put on ' t say no to computers. ..
261,@ USER there is no. Atomic number 2 knows that. That be the point in time. Look at the life of a piece b4 get into you know him ffs
262,@ USER some # TuamBabies might however be awake in his place # PPSellBabyParts instead of the # repealthe8th reenforcement
263,"@ exploiter Felicity that you cleared your citizenship, the next offense could throw you out."
264,"@ USER It always disport me very much how Trans want people to take them, world health organization they be, but can accept themselves, world health organization they are! # dissimulator # stunningandbrave"
265,@ USER But. .. they too Rx Sglt 2i and or Dpp 4i So eminent carb ok.
266,@ USER Fan Fact The place cost on the Islet of Dogs. # Ironic # alanismorrisette Moment
267,"When the girls who worship Ravana & propagate lawlessness see Ravana in real life, block her gyration for anarchy went to the police"
268,"@ exploiter Yup. If that happens in Game captain hicks, this conversation wouldn ' t happen."
269,@ substance abuser Ane don ' t lie with any guys. The guy with 2000 Atbats didn ' t have enough time on the show to unwrap his dead on target color!
270,@ USER and coons are dark brown & disastrous & wear a mask. .. They ppl personify idiots non capable to project this
271,@ USER Who uses stops? Today at least nobody hither on Chirrup. .. Lol face with tears of joy rolling on the floor laughing nictate face
272,I liked that he deal his face with a scarf on the way taboo of court _
273,@ USER Naive opinion of what the military campaign was run. ran on Hope and Alteration then fucks u
274,@ exploiter womanhood aspire 2B treated as equals not only housewives & you all counterpunch w Shopping boycott - fools
275,"@ USER Big sports fan of Asset Sales Direction, but you should keep your sporting / political allegiances to yourself."
276,She ' randomness afraid to hold up to # Saudi arabian because she ' s against HEJAB and (a lot) of # Moslem_woman # fearing to go to the co of anti HEJAB @ USER
277,"@ USER Hey 1 really think (not) that because time of year 1 be the best matter ever so, so helium has something better to do."
278,@ USER Atomic number 53 forget the patty and directly I ' m in the dog house _
279,"@ USER "" cost citizenry with autism at all sentimental. """
280,Except he didn ' t suppose he had a death indirect request?
281,"Yea, plain I didn ' t have to record my laudation oasis one, simply 2 of your jokes."
282,@ USER when all cornet products are made thither illuminated?
283,"@ USER Sol. .. he refer to them as raging, c * nty, and stupid, while at the same time incriminate others of hatred filled."
284,"@ USER says the "" person "" alone defence reaction Ben on EVERY tweet."
285,@ drug user remains were even clear what vacation meant
286,"@ USER As a c% Brexit, I take been convinced with your eloquent and advanced campaign."
287,@ USER What a sick. really call for for a kiss rather of simply getting information technology over and kissing.
288,@ USER I commented you continued with # Hass and Speaking of Bubbles # Edmund hillary ' due south about to pop
289,@ USER tell the womanhood who equal not white and her net name is not Smith. # Immigrant
290,@ exploiter Yeah. .. therefore self - destructive. .. multi - billionaire united states president elected. .. # ElectionHangover
291,"@ exploiter When DGSE collapses, everyone will assume that it is imputable to an exogenous shock, non to their ain mistakes."
292,"@ USER, sound observation, simply this # MadeInAmerica Social Channel bequeath allow the # boycottUSA to gain intensity level."
293,"I mean, the ABC doesn ' t have service for people world health organization experience them in the bushfire area?"
294,@ exploiter no. we just have to think one way. anyone who take issue with me is worse than pond trash and should be launch into the lord's day.
295,"@ USER You possess embraced Trumpism, but it equal @ USER world health organization has fallen into role player? .. . now, that ' second"
296,@ USER because you probably testament not be able to construe these tweet rolling on the floor laughing font with tears of joy
297,@ USER Most of my guys in the construction trade embody non - UK citizen. ..
298,@ USER what a bullshit disceptation # smh you exact to be about no bullshit either
299,@ USER never notice insurrection in the suburbs. They insurrection in the democratically controlled urban country.
300,"@ exploiter yeah, I should likely take been included in earlier tweet."
301,"@ USER Just there w / with a secret email waiter, nominated for Potus, then hack with ur party e - mail from Russia"
